experiment_id,learning_rate,batch_size,epochs,train_loss,val_loss,test_loss,test_mae,test_mse,test_rmse,test_r2,test_mape
0,0.001,16,0,,16.96389389038086,,,,,,
0,0.001,16,0,9.987593650817871,,,,,,,
0,0.001,16,0,15.002789497375488,,,,,,,
0,0.001,16,0,25.639875411987305,,,,,,,
0,0.001,16,0,32.39698028564453,,,,,,,
0,0.001,16,0,22.591611862182617,,,,,,,
0,0.001,16,0,11.122782707214355,,,,,,,
0,0.001,16,0,6.1242194175720215,,,,,,,
0,0.001,16,0,2.0076515674591064,,,,,,,
0,0.001,16,0,1.4525601863861084,,,,,,,
0,0.001,16,0,0.6107827425003052,,,,,,,
0,0.001,16,0,0.24901151657104492,,,,,,,
0,0.001,16,0,0.20151706039905548,,,,,,,
0,0.001,16,0,0.17324574291706085,,,,,,,
0,0.001,16,0,0.7687450051307678,,,,,,,
0,0.001,16,0,0.7732642889022827,,,,,,,
0,0.001,16,0,0.20855233073234558,,,,,,,
0,0.001,16,0,0.13263556361198425,,,,,,,
0,0.001,16,0,0.23842917382717133,,,,,,,
0,0.001,16,0,0.21313630044460297,,,,,,,
0,0.001,16,0,0.10364668071269989,,,,,,,
0,0.001,16,0,0.3093147277832031,,,,,,,
0,0.001,16,0,1.4487409591674805,,,,,,,
0,0.001,16,0,2.498384714126587,,,,,,,
0,0.001,16,0,4.3705549240112305,,,,,,,
0,0.001,16,0,11.030253410339355,,,,,,,
0,0.001,16,0,20.08793830871582,,,,,,,
0,0.001,16,0,25.567596435546875,,,,,,,
0,0.001,16,0,25.567596435546875,7.977365016937256,,,,,,
1,0.001,16,1,9.42452335357666,7.977365016937256,,,,,,
1,0.001,16,1,14.295538902282715,7.977365016937256,,,,,,
1,0.001,16,1,24.684099197387695,7.977365016937256,,,,,,
1,0.001,16,1,31.276533126831055,7.977365016937256,,,,,,
1,0.001,16,1,21.671390533447266,7.977365016937256,,,,,,
1,0.001,16,1,10.447688102722168,7.977365016937256,,,,,,
1,0.001,16,1,5.6079864501953125,7.977365016937256,,,,,,
1,0.001,16,1,1.7233411073684692,7.977365016937256,,,,,,
1,0.001,16,1,1.190738320350647,7.977365016937256,,,,,,
1,0.001,16,1,0.45693540573120117,7.977365016937256,,,,,,
1,0.001,16,1,0.22303012013435364,7.977365016937256,,,,,,
1,0.001,16,1,0.3482438027858734,7.977365016937256,,,,,,
1,0.001,16,1,0.30292245745658875,7.977365016937256,,,,,,
1,0.001,16,1,1.0883845090866089,7.977365016937256,,,,,,
1,0.001,16,1,1.0918959379196167,7.977365016937256,,,,,,
1,0.001,16,1,0.36209192872047424,7.977365016937256,,,,,,
1,0.001,16,1,0.08864811807870865,7.977365016937256,,,,,,
1,0.001,16,1,0.14125029742717743,7.977365016937256,,,,,,
1,0.001,16,1,0.15082059800624847,7.977365016937256,,,,,,
1,0.001,16,1,0.18410971760749817,7.977365016937256,,,,,,
1,0.001,16,1,0.22683335840702057,7.977365016937256,,,,,,
1,0.001,16,1,1.0925357341766357,7.977365016937256,,,,,,
1,0.001,16,1,2.003990650177002,7.977365016937256,,,,,,
1,0.001,16,1,3.6916067600250244,7.977365016937256,,,,,,
1,0.001,16,1,9.88055419921875,7.977365016937256,,,,,,
1,0.001,16,1,18.476078033447266,7.977365016937256,,,,,,
1,0.001,16,1,23.669300079345703,7.977365016937256,,,,,,
1,0.001,16,1,23.669300079345703,6.984894275665283,,,,,,
2,0.001,16,2,8.230758666992188,6.984894275665283,,,,,,
2,0.001,16,2,12.690675735473633,6.984894275665283,,,,,,
2,0.001,16,2,22.423749923706055,6.984894275665283,,,,,,
2,0.001,16,2,28.644283294677734,6.984894275665283,,,,,,
2,0.001,16,2,19.371519088745117,6.984894275665283,,,,,,
2,0.001,16,2,8.79614543914795,6.984894275665283,,,,,,
2,0.001,16,2,4.391326427459717,6.984894275665283,,,,,,
2,0.001,16,2,1.126225233078003,6.984894275665283,,,,,,
2,0.001,16,2,0.6640900373458862,6.984894275665283,,,,,,
2,0.001,16,2,0.2410207837820053,6.984894275665283,,,,,,
2,0.001,16,2,0.3556523323059082,6.984894275665283,,,,,,
2,0.001,16,2,0.9303926229476929,6.984894275665283,,,,,,
2,0.001,16,2,0.8643065094947815,6.984894275665283,,,,,,
2,0.001,16,2,2.0640275478363037,6.984894275665283,,,,,,
2,0.001,16,2,2.1084070205688477,6.984894275665283,,,,,,
2,0.001,16,2,0.9783204197883606,6.984894275665283,,,,,,
2,0.001,16,2,0.2180534303188324,6.984894275665283,,,,,,
2,0.001,16,2,0.1349407136440277,6.984894275665283,,,,,,
2,0.001,16,2,0.22320641577243805,6.984894275665283,,,,,,
2,0.001,16,2,0.5799899101257324,6.984894275665283,,,,,,
2,0.001,16,2,0.2844843864440918,6.984894275665283,,,,,,
2,0.001,16,2,0.4981159269809723,6.984894275665283,,,,,,
2,0.001,16,2,1.1262298822402954,6.984894275665283,,,,,,
2,0.001,16,2,2.4301602840423584,6.984894275665283,,,,,,
2,0.001,16,2,7.742411136627197,6.984894275665283,,,,,,
2,0.001,16,2,15.41275691986084,6.984894275665283,,,,,,
2,0.001,16,2,20.23536491394043,6.984894275665283,,,,,,
2,0.001,16,2,20.23536491394043,5.345992565155029,,,,,,
3,0.001,16,3,6.22562837600708,5.345992565155029,,,,,,
